    alpha      rho        t    total  aco_min  aco_max
{ DATA 1 }
      0.1      0.6       70      130      170      200
      0.1      0.6       80      130      170      190
      0.1      0.6       90      130      170      190
      0.1      0.6      100      130      160      190
      0.1      0.6      110      130      160      190
      0.1      0.6      120      130      170      190
      0.1      0.6      130      130      170      190
      0.1      0.6      140      130      170      190
      0.1      0.6      150      130      170      200
      0.1      0.6      160      130      160      190
      0.1      0.6      170      130      170      210
      0.1      0.6      180      130      170      190
      0.1      0.6      190      130      160      190
      0.1      0.6      200      130      170      190
      0.1      0.7       10      130      160      190
      0.1      0.7       20      130      170      190
      0.1      0.7       30      130      170      190
      0.1      0.7       40      130      160      190
      0.1      0.7       50      130      160      190
      0.1      0.7       60      130      160      210
      0.1      0.7       70      130      170      200
      0.1      0.7       80      130      160      190
      0.1      0.7       90      130      170      190
      0.1      0.7      100      130      170      190
      0.1      0.7      110      130      160      190
      0.1      0.7      120      130      170      200
      0.1      0.7      130      130      170      190
      0.1      0.7      140      130      160      210
      0.1      0.7      150      130      160      190
      0.1      0.7      160      130      170      210
      0.1      0.7      170      130      170      220
      0.1      0.7      180      130      170      170
      0.1      0.7      190      130      160      170
      0.1      0.7      200      130      160      220
      0.1      0.8       10      130      160      190
      0.1      0.8       20      130      170      170
      0.1      0.8       30      130      160      230
      0.1      0.8       40      130      160      190
      0.1      0.8       50      130      160      220
      0.1      0.8       60      130      170      230
      0.1      0.8       70      130      170      190
      0.1      0.8       80      130      160      170
      0.1      0.8       90      130      170      200
      0.1      0.8      100      130      170      190
      0.1      0.8      110      130      170      190
      0.1      0.8      120      130      170      190
      0.1      0.8      130      130      170      210
      0.1      0.8      140      130      170      210
      0.1      0.8      150      130      170      190
      0.1      0.8      160      130      170      210
      0.1      0.8      170      130      160      190
      0.1      0.8      180      130      160      190
      0.1      0.8      190      130      160      190
      0.1      0.8      200      130      160      190
      0.1      0.9       10      130      170      190
      0.1      0.9       20      130      170      190
      0.1      0.9       30      130      160      230
      0.1      0.9       40      130      160      170
      0.1      0.9       50      130      160      190
      0.1      0.9       60      130      170      170
      0.1      0.9       70      130      160      170
      0.1      0.9       80      130      160      190
      0.1      0.9       90      130      170      170
      0.1      0.9      100      130      170      200
      0.1      0.9      110      130      170      190
      0.1      0.9      120      130      160      190
      0.1      0.9      130      130      170      190
      0.1      0.9      140      130      170      200
      0.1      0.9      150      130      160      190
      0.1      0.9      160      130      160      230
      0.1      0.9      170      130      170      190
      0.1      0.9      180      130      160      190
      0.1      0.9      190      130      160      190
      0.1      0.9      200      130      170      190
      0.1        1       10      130      170      190
      0.1        1       20      130      160      170
      0.1        1       30      130      170      190
      0.1        1       40      130      170      200
      0.1        1       50      130      170      190
      0.1        1       60      130      160      170
      0.1        1       70      130      160      190
      0.1        1       80      130      170      220
      0.1        1       90      130      170      190
      0.1        1      100      130      160      190
      0.1        1      110      130      170      200
      0.1        1      120      130      160      190
      0.1        1      130      130      160      190
      0.1        1      140      130      160      190
      0.1        1      150      130      170      190
      0.1        1      160      130      170      210
      0.1        1      170      130      170      230
