№;alpha;rho;t;Ответ;Муравьи;;;№;alpha;rho;t;Ответ;Муравьи;
204;0.1;0.1;50.0;130;170;;;;;;;;;
205;0.1;0.1;60.0;130;160;;;;;;;;;
206;0.1;0.1;70.0;130;170;;;;;;;;;
207;0.1;0.1;80.0;130;170;;;;;;;;;
208;0.1;0.1;90.0;130;170;;;;;;;;;
209;0.1;0.1;100.0;130;160;;;;;;;;;
210;0.1;0.1;110.0;130;170;;;;;;;;;
211;0.1;0.1;120.0;130;170;;;;;;;;;
212;0.1;0.1;130.0;130;170;;;;;;;;;
213;0.1;0.1;140.0;130;170;;;;;;;;;
214;0.1;0.1;150.0;130;160;;;;;;;;;
215;0.1;0.1;160.0;130;160;;;;;;;;;
216;0.1;0.1;170.0;130;160;;;;;;;;;
217;0.1;0.1;180.0;130;170;;;;;;;;;
218;0.1;0.1;190.0;130;160;;;;;;;;;
219;0.1;0.1;200.0;130;160;;;;;;;;;
220;0.1;0.2;10.0;130;170;;;;;;;;;
221;0.1;0.2;20.0;130;160;;;;;;;;;
222;0.1;0.2;30.0;130;170;;;;;;;;;
223;0.1;0.2;40.0;130;160;;;;;;;;;
224;0.1;0.2;50.0;130;160;;;;;;;;;
225;0.1;0.2;60.0;130;170;;;;;;;;;
226;0.1;0.2;70.0;130;160;;;;;;;;;
227;0.1;0.2;80.0;130;160;;;;;;;;;
228;0.1;0.2;90.0;130;170;;;;;;;;;
229;0.1;0.2;100.0;130;170;;;;;;;;;
230;0.1;0.2;110.0;130;170;;;;;;;;;
231;0.1;0.2;120.0;130;170;;;;;;;;;
232;0.1;0.2;130.0;130;170;;;;;;;;;
233;0.1;0.2;140.0;130;170;;;;;;;;;
234;0.1;0.2;150.0;130;170;;;;;;;;;
235;0.1;0.2;160.0;130;160;;;;;;;;;
236;0.1;0.2;170.0;130;160;;;;;;;;;
237;0.1;0.2;180.0;130;160;;;;;;;;;
238;0.1;0.2;190.0;130;170;;;;;;;;;
239;0.1;0.2;200.0;130;170;;;;;;;;;
240;0.1;0.3;10.0;130;160;;;;;;;;;
241;0.1;0.3;20.0;130;160;;;;;;;;;
242;0.1;0.3;30.0;130;170;;;;;;;;;
243;0.1;0.3;40.0;130;160;;;;;;;;;
244;0.1;0.3;50.0;130;170;;;;;;;;;
245;0.1;0.3;60.0;130;160;;;;;;;;;
246;0.1;0.3;70.0;130;170;;;;;;;;;
247;0.1;0.3;80.0;130;160;;;;;;;;;
248;0.1;0.3;90.0;130;160;;;;;;;;;
249;0.1;0.3;100.0;130;170;;;;;;;;;
250;0.1;0.3;110.0;130;170;;;;;;;;;
251;0.1;0.3;120.0;130;160;;;;;;;;;
252;0.1;0.3;130.0;130;170;;;;;;;;;
253;0.1;0.3;140.0;130;170;;;;;;;;;
254;0.1;0.3;150.0;130;170;;;;;;;;;
255;0.1;0.3;160.0;130;170;;;;;;;;;
256;0.1;0.3;170.0;130;160;;;;;;;;;
257;0.1;0.3;180.0;130;170;;;;;;;;;
258;0.1;0.3;190.0;130;170;;;;;;;;;
259;0.1;0.3;200.0;130;170;;;;;;;;;
260;0.1;0.4;10.0;130;170;;;;;;;;;
261;0.1;0.4;20.0;130;170;;;;;;;;;
262;0.1;0.4;30.0;130;170;;;;;;;;;
263;0.1;0.4;40.0;130;160;;;;;;;;;
264;0.1;0.4;50.0;130;160;;;;;;;;;
265;0.1;0.4;60.0;130;160;;;;;;;;;
266;0.1;0.4;70.0;130;170;;;;;;;;;
267;0.1;0.4;80.0;130;160;;;;;;;;;
268;0.1;0.4;90.0;130;160;;;;;;;;;
269;0.1;0.4;100.0;130;170;;;;;;;;;
270;0.1;0.4;110.0;130;170;;;;;;;;;
271;0.1;0.4;120.0;130;170;;;;;;;;;
272;0.1;0.4;130.0;130;170;;;;;;;;;
273;0.1;0.4;140.0;130;160;;;;;;;;;
274;0.1;0.4;150.0;130;170;;;;;;;;;
275;0.1;0.4;160.0;130;170;;;;;;;;;
276;0.1;0.4;170.0;130;170;;;;;;;;;
277;0.1;0.4;180.0;130;170;;;;;;;;;
278;0.1;0.4;190.0;130;170;;;;;;;;;
279;0.1;0.4;200.0;130;160;;;;;;;;;
280;0.1;0.5;10.0;130;170;;;;;;;;;
281;0.1;0.5;20.0;130;170;;;;;;;;;
282;0.1;0.5;30.0;130;160;;;;;;;;;
283;0.1;0.5;40.0;130;170;;;;;;;;;
284;0.1;0.5;50.0;130;160;;;;;;;;;
285;0.1;0.5;60.0;130;160;;;;;;;;;
286;0.1;0.5;70.0;130;170;;;;;;;;;
287;0.1;0.5;80.0;130;170;;;;;;;;;
288;0.1;0.5;90.0;130;160;;;;;;;;;
289;0.1;0.5;100.0;130;170;;;;;;;;;
290;0.1;0.5;110.0;130;170;;;;;;;;;
291;0.1;0.5;120.0;130;170;;;;;;;;;
292;0.1;0.5;130.0;130;160;;;;;;;;;
293;0.1;0.5;140.0;130;170;;;;;;;;;
294;0.1;0.5;150.0;130;170;;;;;;;;;
295;0.1;0.5;160.0;130;160;;;;;;;;;
296;0.1;0.5;170.0;130;160;;;;;;;;;
297;0.1;0.5;180.0;130;160;;;;;;;;;
298;0.1;0.5;190.0;130;160;;;;;;;;;
299;0.1;0.5;200.0;130;160;;;;;;;;;
300;0.1;0.6;10.0;130;170;;;;;;;;;
301;0.1;0.6;20.0;130;160;;;;;;;;;
302;0.1;0.6;30.0;130;160;;;;;;;;;
303;0.1;0.6;40.0;130;160;;;;;;;;;
304;0.1;0.6;50.0;130;170;;;;;;;;;
305;0.1;0.6;60.0;130;170;;;;;;;;;
306;0.1;0.6;70.0;130;170;;;;;;;;;
307;0.1;0.6;80.0;130;170;;;;;;;;;
308;0.1;0.6;90.0;130;170;;;;;;;;;
