       № operation         Belt       Number str          State           Time
            380              1             65              S             18:0:23.591
            381              2             64              S             18:0:23.591
            382              3             63              F             18:0:23.633
            383              2             64              F             18:0:23.633
            384              3             64              S             18:0:23.633
            385              1             65              F             18:0:23.633
            386              1             66              S             18:0:23.633
            387              2             65              S             18:0:23.633
            388              3             64              F             18:0:23.674
            389              2             65              F             18:0:23.674
            390              3             65              S             18:0:23.674
            391              1             66              F             18:0:23.674
            392              1             67              S             18:0:23.674
            393              2             66              S             18:0:23.674
            394              3             65              F             18:0:23.714
            395              2             66              F             18:0:23.714
            396              3             66              S             18:0:23.714
            397              1             67              F             18:0:23.714
            398              1             68              S             18:0:23.714
            399              2             67              S             18:0:23.714
            400              3             66              F             18:0:23.755
            401              2             67              F             18:0:23.755
            402              3             67              S             18:0:23.755
            403              1             68              F             18:0:23.755
            404              1             69              S             18:0:23.755
            405              2             68              S             18:0:23.755
            406              3             67              F             18:0:23.796
            407              2             68              F             18:0:23.796
            408              3             68              S             18:0:23.796
            409              1             69              F             18:0:23.796
            410              1             70              S             18:0:23.796
            411              2             69              S             18:0:23.796
            412              3             68              F             18:0:23.837
            413              2             69              F             18:0:23.837
            414              3             69              S             18:0:23.837
            415              1             70              F             18:0:23.837
            416              1             71              S             18:0:23.837
            417              2             70              S             18:0:23.837
            418              3             69              F             18:0:23.878
            419              2             70              F             18:0:23.878
            420              3             70              S             18:0:23.878
            421              1             71              F             18:0:23.878
            422              1             72              S             18:0:23.878
            423              2             71              S             18:0:23.878
            424              3             70              F             18:0:23.919
            425              2             71              F             18:0:23.919
            426              3             71              S             18:0:23.919
            427              1             72              F             18:0:23.919
            428              1             73              S             18:0:23.919
            429              2             72              S             18:0:23.919
            430              3             71              F             18:0:23.960
            431              2             72              F             18:0:23.960
            432              3             72              S             18:0:23.960
            433              1             73              F             18:0:23.960
            434              1             74              S             18:0:23.960
            435              2             73              S             18:0:23.960
            436              3             72              F             18:0:24.1
            437              2             73              F             18:0:24.1
            438              3             73              S             18:0:24.1
            439              1             74              F             18:0:24.1
            440              1             75              S             18:0:24.1
            441              2             74              S             18:0:24.1
            442              3             73              F             18:0:24.42
            443              2             74              F             18:0:24.42
            444              3             74              S             18:0:24.42
            445              1             75              F             18:0:24.42
            446              1             76              S             18:0:24.42
            447              2             75              S             18:0:24.42
            448              3             74              F             18:0:24.83
            449              2             75              F             18:0:24.83
            450              3             75              S             18:0:24.83
            451              1             76              F             18:0:24.83
            452              1             77              S             18:0:24.83
            453              2             76              S             18:0:24.83
            454              3             75              F             18:0:24.124
            455              2             76              F             18:0:24.124
            456              3             76              S             18:0:24.124
            457              1             77              F             18:0:24.124
            458              1             78              S             18:0:24.124
            459              2             77              S             18:0:24.124
            460              3             76              F             18:0:24.165
            461              2             77              F             18:0:24.165
            462              3             77              S             18:0:24.165
            463              1             78              F             18:0:24.165
            464              1             79              S             18:0:24.165
            465              2             78              S             18:0:24.165
            466              3             77              F             18:0:24.206
            467              2             78              F             18:0:24.206
            468              3             78              S             18:0:24.206
            469              1             79              F             18:0:24.206
            470              1             80              S             18:0:24.206
            471              2             79              S             18:0:24.206
            472              3             78              F             18:0:24.248
            473              2             79              F             18:0:24.248
            474              3             79              S             18:0:24.248
            475              1             80              F             18:0:24.248
            476              1             81              S             18:0:24.248
            477              2             80              S             18:0:24.248
            478              3             79              F             18:0:24.289
            479              2             80              F             18:0:24.289
            480              3             80              S             18:0:24.289
            481              1             81              F             18:0:24.289
            482              1             82              S             18:0:24.289
            483              2             81              S             18:0:24.289
            484              3             80              F             18:0:24.330
            485              2             81              F             18:0:24.330
            486              3             81              S             18:0:24.330
            487              1             82              F             18:0:24.330
            488              1             83              S             18:0:24.330
            489              2             82              S             18:0:24.330
            490              3             81              F             18:0:24.371
            491              2             82              F             18:0:24.371
            492              3             82              S             18:0:24.371
            493              1             83              F             18:0:24.371
            494              1             84              S             18:0:24.371
            495              2             83              S             18:0:24.371
            496              3             82              F             18:0:24.412
            497              2             83              F             18:0:24.412
            498              3             83              S             18:0:24.412
            499              1             84              F             18:0:24.412
            500              1             85              S             18:0:24.412
            501              2             84              S             18:0:24.412
            502              3             83              F             18:0:24.453
            503              2             84              F             18:0:24.453
            504              3             84              S             18:0:24.453
            505              1             85              F             18:0:24.453
            506              1             86              S             18:0:24.453
            507              2             85              S             18:0:24.453
            508              3             84              F             18:0:24.494
            509              2             85              F             18:0:24.495
            510              3             85              S             18:0:24.495
            511              1             86              F             18:0:24.495
            512              1             87              S             18:0:24.495
            513              2             86              S             18:0:24.495
            514              3             85              F             18:0:24.535
            515              2             86              F             18:0:24.535
            516              3             86              S             18:0:24.535
            517              1             87              F             18:0:24.535
            518              1             88              S             18:0:24.535
            519              2             87              S             18:0:24.535
